id,word,language,length
"713","کبک","fa","3"
"714","کلاغ","fa","4"
"715","الاغ","fa","4"
"716","پرستو","fa","5"
"717","روز","fa","3"
"718","روزه","fa","4"
"719","رضوان","fa","5"
"720","ماهنامه","fa","7"
"721","مرز","fa","3"
"722","گهر","fa","3"
"723","گلاب","fa","4"
"724","انباشته","fa","7"
"725","انباشتن","fa","7"
"726","مجاز","fa","4"
"727","مجازات","fa","6"
"728","دلیل","fa","4"
"729","سبب","fa","3"
"730","عامل","fa","4"
"731","باعث","fa","4"
"732","نکته","fa","4"
"733","نکات","fa","4"
"734","آتوسا","fa","5"
"735","معبد","fa","4"
"736","عابد","fa","4"
"737","دنیا","fa","4"
"738","آخر","fa","3"
"739","آخرت","fa","4"
"740","تبخیر","fa","5"
"741","بخار","fa","4"
"742","مذاب","fa","4"
"743","عذاب","fa","4"
"744","نیرنگ","fa","5"
"745","یگانه","fa","5"
"746","یکتا","fa","4"
"747","پشتیبان","fa","7"
"748","سرود","fa","4"
"749","نیست","fa","4"
"750","نیستی","fa","5"
"751","هستی","fa","4"
"752","تکثیر","fa","5"
"753","کثرت","fa","4"
"754","ساخته","fa","5"
"755","پرداخته","fa","7"
"756","پرداخت","fa","6"
"757","ساخت","fa","4"
"758","ساختن","fa","5"
"759","شکر","fa","3"
"760","فلفل","fa","4"
"761","ادویه","fa","5"
"762","دوات","fa","4"
"763","الکل","fa","4"
"764","لایه","fa","4"
"765","عمیق","fa","4"
"766","ذهن","fa","3"
"767","تخیل","fa","4"
"768","بزرگ","fa","4"
"769","بزرگی","fa","5"
"770","دیندار","fa","6"
"771","پولدار","fa","6"
"772","دوستدار","fa","7"
"773","خونخوار","fa","7"
"774","کشف","fa","3"
"775","مکاشفه","fa","6"
"776","اکتشاف","fa","6"
"777","آشپزخانه","fa","8"
"778","سوپ","fa","3"
"779","قیمه","fa","4"
"780","قرمه","fa","4"
"781","لواط","fa","4"
"782","حلال","fa","4"
"783","حرام","fa","4"
"784","دوزخ","fa","4"
"785","شکل","fa","3"
"786","بعد","fa","3"
"787","قبل","fa","3"
"788","باد","fa","3"
"789","علامت","fa","5"
"790","علائم","fa","5"
"791","فرفره","fa","5"
"792","فانی","fa","4"
"793","فاحش","fa","4"
"794","نوه","fa","3"
"795","مادربزرگ","fa","8"
"796","پدربزرگ","fa","7"
"797","میان","fa","4"
"798","میانه","fa","5"
"799","بنبست","fa","5"
"800","تازیانه","fa","7"
"801","تازی","fa","4"
"802","نور","fa","3"
"803","پستو","fa","4"
"804","ترانه","fa","5"
"805","شوق","fa","3"
"806","ابلیس","fa","5"
"807","مست","fa","3"
"808","مستی","fa","4"
"809","کوه","fa","3"
"810","سوخت","fa","4"
"811","شاعر","fa","4"
"812","فاعل","fa","4"
"813","مفعول","fa","5"
"814","معلول","fa","5"
"815","جوان","fa","4"
"816","اندیشه","fa","6"
"817","چراغ","fa","4"
"818","مستقر","fa","5"
"819","استقرار","fa","7"
"820","عشق","fa","3"
"821","ظریف","fa","4"
"822","لطیف","fa","4"
"823","عاشق","fa","4"
"824","بمب","fa","3"
"825","پیروز","fa","5"
"826","پیروزی","fa","6"
"827","پچپچ","fa","4"
"828","تیر","fa","3"
"829","تیرک","fa","4"
"830","دروازه","fa","6"
"831","انگیزه","fa","6"
"832","احساس","fa","5"
"833","محسوس","fa","5"
"834","شاهد","fa","4"
"835","شهید","fa","4"
"836","مشهود","fa","5"
"837","شهد","fa","3"
"838","زنبور","fa","5"
"839","تنبان","fa","5"
"840","آفتاب","fa","5"
"841","تاریک","fa","5"
"842","تاریکی","fa","6"
"843","لطیفه","fa","5"
"844","برق","fa","3"
"845","قطعی","fa","4"
"846","برقی","fa","4"
"847","خاکی","fa","4"
"848","خشک","fa","3"
"849","خشکی","fa","4"
"850","ملخ","fa","3"
"851","سلیقه","fa","5"
"852","سال","fa","3"
"853","داغ","fa","3"
"854","سرما","fa","4"
"855","برف","fa","3"
"856","برفی","fa","4"
"857","مواد","fa","4"
"858","ماده","fa","4"
"859","نطق","fa","3"
"860","منطقی","fa","5"
"861","ناطق","fa","4"
"862","کاهو","fa","4"
"863","هویح","fa","4"
"864","ترب","fa","3"
"865","تربچه","fa","5"
"866","عنوان","fa","5"
"867","دود","fa","3"
"868","شناخت","fa","5"
"869","پدیده","fa","5"
"870","دایره","fa","5"
"871","تنبک","fa","4"
"872","مثلث","fa","4"
"873","مربع","fa","4"
"874","مستطیل","fa","6"
"875","مخروط","fa","5"
"876","استوانه","fa","7"
"877","ستون","fa","4"
"878","فاش","fa","3"
"879","انجیل","fa","5"
"880","تورات","fa","5"
"881","قرآن","fa","4"
"882","بلال","fa","4"
"883","ذرت","fa","3"
"884","جبهه","fa","4"
"885","تجهیز","fa","5"
"886","تجهیزات","fa","7"
"887","جنگی","fa","4"
"888","جنگنده","fa","6"
"889","اراده","fa","5"
"890","توان","fa","4"
"891","فصل","fa","3"
"892","تابستان","fa","7"
"893","پاییز","fa","5"
"894","بهار","fa","4"
"895","روزانه","fa","6"
"896","رزومه","fa","5"
"897","مرزی","fa","4"
"898","پادگان","fa","6"
"899","پاداش","fa","5"
"900","جایزه","fa","5"
"901","کباب","fa","4"
"902","کبابی","fa","5"
"903","درخشش","fa","5"
"904","نورانی","fa","6"
"905","تاج","fa","3"
"906","آگاه","fa","4"
"907","آگاهی","fa","5"
"908","هوش","fa","3"
"909","هوشمند","fa","6"
"910","باهوش","fa","5"
"911","محرم","fa","4"
"912","محرمانه","fa","7"
"913","مهربان","fa","6"
"914","خرداد","fa","5"
"915","خدا","fa","3"
"916","ماه","fa","3"
"917","ماهواره","fa","7"
"918","خورشید","fa","6"
"919","آفتابه","fa","6"
"920","پرست","fa","4"
"921","میهن","fa","4"
"922","آیین","fa","4"
"923","هنر","fa","3"
"924","هنرمند","fa","6"
"925","مسدود","fa","5"
"926","رویا","fa","4"
"927","دزدی","fa","4"
"928","روی","fa","3"
"929","قرارداد","fa","7"
"930","رقیق","fa","4"
"931","دریق","fa","4"
"932","واگیر","fa","5"
"933","واگیردار","fa","8"
"934","گرد","fa","3"
"935","گردگیری","fa","7"
"936","گردگیر","fa","6"
"937","داوری","fa","5"
"938","قرقی","fa","4"
"939","درگیر","fa","5"
"940","روزی","fa","4"
"941","گاری","fa","4"
"942","غار","fa","3"
"943","زاری","fa","4"
"944","وادی","fa","4"
"945","شادی","fa","4"
"946","یار","fa","3"
"947","یاری","fa","4"
"948","زور","fa","3"
"949","زوری","fa","4"
"950","گویا","fa","4"
"951","دقیق","fa","4"
"952","یارگیری","fa","7"
"953","یادگیری","fa","7"
"954","یاد","fa","3"
"955","یادگار","fa","6"
"956","یادگاری","fa","7"
"957","راوی","fa","4"
"958","دوری","fa","4"
"959","یاور","fa","4"
"960","زاد","fa","3"
"961","زادروز","fa","6"
"962","گاو","fa","3"
"963","گاوداری","fa","7"
"964","گیرا","fa","4"
"965","ویزا","fa","4"
"966","وزق","fa","3"
"967","اردو","fa","4"
"968","آرزو","fa","4"
"969","ارزی","fa","4"
"970","آوار","fa","4"
"971","ازدیاد","fa","6"
"972","آزردگی","fa","6"
"973","واگرا","fa","5"
"974","واگرایی","fa","7"
"975","زورگیر","fa","6"
"976","زورگیری","fa","7"
"977","وارد","fa","4"
"978","رازقی","fa","5"
"979","دودی","fa","4"
"980","ناخنگیر","fa","7"
"981","ناخدا","fa","5"
"982","آزاد","fa","4"
"983","آزادی","fa","5"
"984","آزاده","fa","5"
"985","دورو","fa","4"
"986","ماهی","fa","4"
"987","نهنگ","fa","4"
"988","اسب","fa","3"
"989","مارماهی","fa","7"
"990","حاجی","fa","4"
"991","صدق","fa","3"
"992","درود","fa","4"
"993","لعن","fa","3"
"994","نفرین","fa","5"
"995","تفریق","fa","5"
"996","تفاضل","fa","5"
"997","جامعه","fa","5"
"998","حاصل","fa","4"
"999","مرد","fa","3"
"1000","مردانه","fa","6"
"1001","مردانگی","fa","7"
"1002","زن","fa","2"
"1003","زنانه","fa","5"
"1004","لخت","fa","3"
"1005","پوشش","fa","4"
"1006","پوشیده","fa","6"
"1007","دلبر","fa","4"
"1008","قیچی","fa","4"
"1009","بیضی","fa","4"
"1010","ذوزنقه","fa","6"
"1011","پازل","fa","4"
"1012","لانه","fa","4"
"1013","لابی","fa","4"
"1014","لازم","fa","4"
"1015","جامد","fa","4"
"1016","مایع","fa","4"
"1017","کاهش","fa","4"
"1018","سمند","fa","4"
"1019","گاومیش","fa","6"
"1020","کرکس","fa","4"
"1021","چرک","fa","3"
"1022","کثیف","fa","4"
"1023","چریک","fa","4"
"1024","چرند","fa","4"
"1025","مهمل","fa","4"
"1026","خزعبل","fa","5"
"1027","شهر","fa","3"
"1028","کشور","fa","4"
"1029","استان","fa","5"
"1030","روستا","fa","5"
"1031","باغ","fa","3"
"1032","دهکده","fa","5"
"1033","گاودار","fa","6"
"1034","کلم","fa","3"
"1035","بیگانه","fa","6"
"1036","چاله","fa","4"
"1037","چراگاه","fa","6"
"1038","چرا","fa","3"
"1039","چیستان","fa","6"
"1040","شیخ","fa","3"
"1041","بردبار","fa","6"
"1042","کتلت","fa","4"
"1043","جعفری","fa","5"
"1044","شوید","fa","4"
"1045","گوجه","fa","4"
"1046","سویا","fa","4"
"1047","لوبیا","fa","5"
"1048","نخود","fa","4"
"1049","آلو","fa","3"
"1050","لبو","fa","3"
"1051","زعفران","fa","6"
"1052","آرد","fa","3"
"1053","export","fa","6"
"1054","تندر","fa","4"
"1055","تند","fa","3"
"1056","سریع","fa","4"
"1057","تندباد","fa","6"
"1058","گوز","fa","3"
"1059","مسلم","fa","4"
"1060","تسلیم","fa","5"
"1061","اسیر","fa","4"
"1062","اسارت","fa","5"
"1063","حقیر","fa","4"
"1064","حقارت","fa","5"
"1065","خبیث","fa","4"
"1066","خباثت","fa","5"
"1067","شناگر","fa","5"
"1068","شمع","fa","3"
"1069","شمعدان","fa","6"
"1070","کتابخانه","fa","8"
"1071","معتبر","fa","5"
"1072","جستجو","fa","5"
"1073","یهود","fa","4"
"1074","یهودی","fa","5"
"1075","مصر","fa","3"
"1076","مصری","fa","4"
"1077","هندی","fa","4"
"1078","هند","fa","3"
"1079","خیال","fa","4"
"1080","خیل","fa","3"
"1081","زمانه","fa","5"
"1082","دوران","fa","5"
"1083","بازی","fa","4"
"1084","عصر","fa","3"
"1085","ظهر","fa","3"
"1086","باجناق","fa","6"
"1087","رختخواب","fa","7"
"1088","خوابگاه","fa","7"
"1089","میدان","fa","5"
"1090","کارزار","fa","6"
"1091","هیچ","fa","3"
"1092","تجزیه","fa","5"
"1093","تلاش","fa","4"
"1094","دفاع","fa","4"
"1095","دین","fa","3"
"1096","مذهب","fa","4"
"1097","خود","fa","3"
"1098","خودخواه","fa","7"
"1099","راه","fa","3"
"1100","خرافه","fa","5"
"1101","خرافات","fa","6"
"1102","غافلگیر","fa","7"
"1103","غافلگیری","fa","8"
"1104","غافل","fa","4"
"1105","زیارت","fa","5"
"1106","گناه","fa","4"
"1107","گناهکار","fa","7"
"1108","بهشت","fa","4"
"1109","نیک","fa","3"
"1110","نیکخواه","fa","7"
"1111","نیکی","fa","4"
"1112","شرور","fa","4"
"1113","شام","fa","3"
"1114","بدخواه","fa","6"
"1115","کینه","fa","4"
"1116","ارتجاع","fa","6"
"1117","مرتجع","fa","5"
"1118","گام","fa","3"
"1119","قدم","fa","3"
"1120","فراری","fa","5"
"1121","خرسند","fa","5"
"1122","گمراهی","fa","6"
"1123","گمراه","fa","5"
"1124","واجب","fa","4"
"1125","زکات","fa","4"
"1126","نوید","fa","4"
"1127","هشدار","fa","5"
"1128","دولت","fa","4"
"1129","حکومت","fa","5"
"1130","حاکم","fa","4"
"1131","مدعی","fa","4"
"1132","پرسش","fa","4"
"1133","پرسشگر","fa","6"
"1134","خلیفه","fa","5"
"1135","اروپا","fa","5"
"1136","اروپایی","fa","7"
"1137","دردمند","fa","6"
"1138","مقاله","fa","5"
"1139","رخنه","fa","4"
"1140","شمشیر","fa","5"
"1141","پندار","fa","5"
"1142","سازش","fa","4"
"1143","مزدور","fa","5"
"1144","قیافه","fa","5"
"1145","چهره","fa","4"
"1146","اقیانوس","fa","7"
"1147","درخت","fa","4"
"1148","کاج","fa","3"
"1149","رخداد","fa","5"
"1150","احتمال","fa","6"
"1151","آلت","fa","3"
"1152","شرم","fa","3"
"1153","شرمناک","fa","6"
"1154","خاطره","fa","5"
"1155","لذیذ","fa","4"
"1156","سفره","fa","4"
"1157","سقوط","fa","4"
"1158","شارش","fa","4"
"1159","پرواز","fa","5"
"1160","همایش","fa","5"
"1161","همسر","fa","4"
"1162","گرما","fa","4"
"1163","اندرون","fa","6"
"1164","انکارا","fa","6"
"1165","ناودان","fa","6"
"1166","ناگوار","fa","6"
"1167","اووکادو","fa","7"
"1168","روانکاو","fa","7"
"1169","گوناگون","fa","7"
"1170","اردکان","fa","6"
"1171","داروگر","fa","6"
"1172","کاردان","fa","6"
"1173","کارکرد","fa","6"
"1174","کانگورو","fa","7"
"1175","دندانگرد","fa","8"
"1176","کارگردان","fa","8"
"1177","عار","fa","3"
"1178","عیب","fa","3"
"1179","ننگ","fa","3"
"1180","کاری","fa","4"
"1181","مترادف","fa","6"
"1182","زیبنده","fa","6"
"1183","نیکو","fa","4"
"1184","خوب","fa","3"
"1185","خوبی","fa","4"
"1186","خوشگل","fa","5"
"1187","پریرو","fa","5"
"1188","رعنا","fa","4"
"1189","شیک","fa","3"
"1190","مطبوع","fa","5"
"1191","مقبول","fa","5"
"1192","ملیح","fa","4"
"1193","نازنین","fa","6"
"1194","نیکورو","fa","6"
"1195","وجیه","fa","4"
"1196","وسیم","fa","4"
"1197","شکیل","fa","4"
"1198","خوش","fa","3"
"1199","تماشا","fa","5"
"1200","تماشایی","fa","7"
"1201","ناپسند","fa","6"
"1202","ناخواسته","fa","8"
"1203","قبیح","fa","4"
"1204","ناخوشایند","fa","9"
"1205","نفرتانگیز","fa","9"
"1206","نفرتبار","fa","7"
"1207","شریر","fa","4"
"1208","هجوم","fa","4"
"1209","فرود","fa","4"
"1210","فرودگاه","fa","7"
"1211","قرارگاه","fa","7"
"1212","خاتم","fa","4"
"1213","گرگان","fa","5"
"1214","گریه","fa","4"
"1215","اشک","fa","3"
"1216","اندوه","fa","5"
"1217","تقوا","fa","4"
"1218","پرهیز","fa","5"
"1219","پرهیزگاری","fa","9"
"1220","خوف","fa","3"
"1221","خوفناک","fa","6"
"1222","واهمه","fa","5"
"1223","اضطراب","fa","6"
"1224","باک","fa","3"
"1225","بیم","fa","3"
"1226","پروا","fa","4"
"1227","جبن","fa","3"
"1228","تشویش","fa","5"
"1229","دغدغه","fa","5"
"1230","دهشت","fa","4"
"1231","رعب","fa","3"
"1232","سهم","fa","3"
"1233","محابا","fa","5"
"1234","وجا","fa","3"
"1235","هراس","fa","4"
"1236","وهم","fa","3"
"1237","هول","fa","3"
"1238","هیبت","fa","4"
"1239","مانند","fa","5"
"1240","همانند","fa","6"
"1241","قبیل","fa","4"
"1242","متشابه","fa","6"
"1243","متماثل","fa","6"
"1244","مثل","fa","3"
"1245","مشابه","fa","5"
"1246","نظیر","fa","4"
"1247","نمونه","fa","5"
"1248","همسان","fa","5"
"1249","متضاد","fa","5"
"1250","مختلف","fa","5"
"1251","تعزیه","fa","5"
"1252","روضه","fa","4"
"1253","عزادار","fa","6"
"1254","عزاداری","fa","7"
"1255","مجلس","fa","4"
"1256","نمایش","fa","5"
"1257","نمایشی","fa","6"
"1258","سوگواری","fa","7"
"1259","سوگوار","fa","6"
"1260","سوگ","fa","3"
"1261","ماتم","fa","4"
"1262","عزا","fa","3"
"1263","غم","fa","2"
"1264","رثا","fa","3"
"1265","جشن","fa","3"
"1266","سرور","fa","4"
"1267","عیش","fa","3"
"1268","افترا","fa","5"
"1269","بهتان","fa","5"
"1270","بیهوده","fa","6"
"1271","ترفند","fa","5"
"1272","تهمت","fa","4"
"1273","جعل","fa","3"
"1274","شایعه","fa","5"
"1275","شید","fa","3"
"1276","فریه","fa","4"
"1277","صواب","fa","4"
"1278","سفینه","fa","5"
"1279","غراب","fa","4"
"1280","مرکب","fa","4"
"1281","ناو","fa","3"
"1282","جهاز","fa","4"
"1283","زورق","fa","4"
"1284","امل","fa","3"
"1285","امیدواری","fa","8"
"1286","انتظار","fa","6"
"1287","توقع","fa","4"
"1288","چشمداشت","fa","7"
"1289","یاس","fa","3"
"1290","آمال","fa","4"
"1291","دلپسند","fa","6"
"1292","شاد","fa","3"
"1293","شادمان","fa","6"
"1294","گوارا","fa","5"
"1295","سرسبز","fa","5"
"1296","آسوده","fa","5"
"1297","خشنود","fa","5"
"1298","خوشحال","fa","6"
"1299","خوشدل","fa","5"
"1300","مسرور","fa","5"
"1301","ناخوش","fa","5"
"1302","سرحال","fa","5"
"1303","بدیع","fa","4"
"1304","ماچ","fa","3"
"1305","قبله","fa","4"
"1306","مهنا","fa","4"
"1307","ابتهاج","fa","6"
"1308","مبتهج","fa","5"
"1309","اهریمن","fa","6"
"1310","فساد","fa","4"
"1311","پلیدی","fa","5"
"1312","پلید","fa","4"
"1313","اهرمن","fa","5"
"1314","عفریت","fa","5"
"1315","نابکار","fa","6"
"1316","اهورا","fa","5"
"1317","خرد","fa","3"
"1318","ابله","fa","4"
"1319","کودن","fa","4"
"1320","ناقص","fa","4"
"1321","نفهم","fa","4"
"1322","دانا","fa","4"
"1323","خاطر","fa","4"
"1324","طمع","fa","3"
"1325","آزمند","fa","5"
"1326","زیاد","fa","4"
"1327","ولع","fa","3"
"1328","حرص","fa","3"
"1329","آز","fa","2"
"1330","متمطع","fa","5"
"1331","حریص","fa","4"
"1332","سپس","fa","3"
"1333","سپاسگزار","fa","8"
"1334","شکرگزار","fa","7"
"1335","نمازگزار","fa","8"
"1336","سپاس","fa","4"
"1337","پیغمبر","fa","6"
"1338","ابلاغ","fa","5"
"1339","پیغام","fa","5"
"1340","الهام","fa","5"
"1341","وحی","fa","3"
"1342","یادداشت","fa","7"
"1343","سفارش","fa","5"
"1344","مطلب","fa","4"
"1345","نبا","fa","3"
"1346","ناکام","fa","5"
"1347","ناکار","fa","5"
"1348","ناکارامد","fa","8"
"1349","کاروان","fa","6"
"1350","راکون","fa","5"
"1351","کردار","fa","5"
"1352","دربار","fa","5"
"1353","درباری","fa","6"
"1354","ندار","fa","4"
"1355","نوار","fa","4"
"1356","وداع","fa","4"
"1357","یادبود","fa","6"
"1358","گران","fa","4"
"1359","غلام","fa","4"
"1360","بنده","fa","4"
"1361","گرایش","fa","5"
"1362","تمایل","fa","5"
"1363","دورنگار","fa","7"
"1364","درون","fa","4"
"1365","درونگرا","fa","7"
"1366","حجاب","fa","4"
"1367","روپوش","fa","5"
"1368","روبند","fa","5"
"1369","پرده","fa","4"
"1370","مانع","fa","4"
"1371","جلباب","fa","5"
"1372","چارق","fa","4"
"1373","روسری","fa","5"
"1374","نقاب","fa","4"
"1375","غشا","fa","3"
"1376","رگ","fa","2"
"1377","رگبار","fa","5"
"1378","تیربار","fa","6"
"1379","کمانگیر","fa","7"
"1380","روشن","fa","4"
"1381","روشنایی","fa","7"
"1382","روشنگر","fa","6"
"1383","روشنگری","fa","7"
"1384","رفتار","fa","5"
"1385","حوزه","fa","4"
"1386","حوزوی","fa","5"
"1387","سیاستمدار","fa","9"
"1388","گشنیز","fa","5"
"1390","شبان","fa","4"
"1391","چوپان","fa","5"
"1392","شقایق","fa","5"
"1393","دشوار","fa","5"
"1394","سخت","fa","3"
"1395","دشواری","fa","6"
"1396","پرتقال","fa","6"
"1397","طالبی","fa","5"
"1398","هندوانه","fa","7"
"1399","آبشار","fa","5"
"1400","عملکرد","fa","6"
